country,medialist
Vietnam,"['english.vov.vn', 'vov.vn', 'vtc.vn', 'english.vtv.vn', 'vtv.vn', '24h.com.vn', 'en.baomoi.com', 'baomoi.com', 'bongdaplus.vn', 'dtinews.vn', 'dantri.com.vn', 'news.google.com.vn', 'infonet.vn', 'tintuc.vn', 'viettimes.vn', 'vietnambreakingnews.com', 'english.vietnamnet.vn', 'vietnamnet.vn', 'vietnam-aujourdhui.info', 'vietnamnews.net', 'e.vnexpress.net', 'vnexpress.net', 'news.zing.vn', 'vietnam.vnanet.vn', 'quehuongonline.vn', 'english.tapchicongsan.org.vn', 'laos.tapchicongsan.org.vn', 'tapchicongsan.org.vn', 'cn.tapchicongsan.org.vn', 'hanoimoi.com.vn', 'nhandan.org.vn', 'cn.qdnd.vn', 'sggp.org.vn', 'thanhnien.vn', 'tienphong.vn', 'tuoitre.vn', 'en.vietnamplus.vn', 'fr.vietnamplus.vn', 'es.vietnamplus.vn', 'vietnamplus.vn', 'zh.vietnamplus.vn', 'baoangiang.com.vn', 'baobariavungtau.com.vn', 'en.baobacgiang.com.vn', 'baobacgiang.com.vn', 'baobackan.org.vn', 'baobaclieu.vn', 'baobacninh.com.vn', 'baobinhdinh.com.vn', 'baobinhduong.vn', 'baobinhphuoc.com.vn', 'baobinhthuan.com.vn', 'baocantho.com.vn', 'anninhthudo.vn', 'baodautu.vn', 'hanoitv.vn', 'lecourrier.vn', 'en.nhandan.org.vn', 'fr.nhandan.com.vn', 'ru.nhandan.com.vn', 'cn.nhandan.com.vn', 'kinhtedothi.vn', 'laodong.com.vn', 'en.qdnd.vn', 'qdnd.vn', 'vneconomy.vn', 'tinthethao.com.vn', 'vietnamnews.vn', 'vir.com.vn', 'congan.com.vn', 'thesaigontimes.vn', 'nld.com.vn', 'sggpnews.org.vn', 'english.thesaigontimes.vn', 'tuoitrenews.vn', 'voh.com.vn', 'baophuyen.com.vn']"
International,"['abcnews.go.com', 'aljazeera.net', 'aljazeera.com', 'bbc.co.uk', 'cbc.ca', 'arabic.cnn.com', 'edition.cnn.com', 'arabic.euronews.com', 'de.euronews.com', 'gr.euronews.com', 'euronews.com', 'persian.euronews.com', 'fr.euronews.com', 'hu.euronews.com', 'it.euronews.com', 'pl.euronews.com', 'pt.euronews.com', 'ru.euronews.com', 'es.euronews.com', 'tr.euronews.com', 'ua.euronews.com', 'pri.org', 'voanews.com', 'trust.org', 'armedpolitics.com', 'einnews.com', 'fronteranews.com', 'globalpost.com', 'globaltrading.com', 'greatreporter.com', 'ihavenet.com', 'indepthnews.net', 'insnews.org', 'insideworld.com', 'iwpr.net', 'irinnews.org', 'klezio.com', 'laspecula.com', 'lepetitjournal.com', 'mambolook.com', 'mapreport.com', 'namnewsnetwork.org', 'newsmixx.com', 'newsnow.co.uk', 'oneworld.org', 'peacelink.it', 'reliefweb.int', 'topix.com', 'veryquiet.com', 'wn.com', 'theworldfolio.com', 'worldphotos.com', 'worldpoliticsreview.com', 'worldpronews.com', 'worldtribune.com', 'theworldweekly.com', 'news.yahoo.com', 'economist.com', 'theguardian.com', 'international.nytimes.com', 'cn.nytimes.com', 'telegraph.co.uk', 'wsj.com', 'washingtonpost.com', 'hosted.ap.org', 'ipsnews.de', 'ipsnews.net', 'ipsnoticias.net', 'interfax.com', 'ara.reuters.com', 'reuters.com']"
Nigeria,"['channelstv.com', 'ntanews24.tv', 'ww2.radionigeria.gov.ng', 'voiceofnigeria.org', '247ureports.com', 'afbis.com', 'africanexaminer.com', 'africansearchlight.com', 'allnigeriasoccer.com', 'aproko247.com', 'arewaonline-ng.com', 'bellanaija.com', 'news.bestnaira.com', 'bignigeria.com', 'bizwatchnigeria.ng', 'thebreakingtimes.com', 'businessnews.com.ng', 'buzznigeria.com', 'thecable.ng', 'thecitizenng.com', 'cknnigeria.com', 'dailypost.ng', 'dailyreviewonline.com.ng', 'dailystar.com.ng', 'e-nigeriang.com', 'ereporter.com.ng', 'theeagleonline.com.ng', 'eaglereporters.com', 'editorialnigeria.com', 'elombah.com', 'expressng.com', 'factualreporters.com', 'frontiersnews.com', 'gamji.com', 'gistyinka.net', 'globalvillageextra.com', 'news.google.com.ng', 'gossipnigeria.com', 'theheraldng.com', 'hotnaijanews.com', 'huhuonline.com', 'ireports-ng.com', 'indepthnigeria.com', 'infonigeria.net', 'theinfostrides.com', 'informationng.com', 'theinfrastructurenewsng.com', 'ionigeria.com', 'iq4news.com', 'latestnigeriannews.com', 'thelead.com.ng', 'medianigeria.com', 'naij.com', 'naijabizcom.com', 'naijalately.com', 'naijaleaks.org', 'nigeriastandardnewspaper.com', 'nairaland.com', 'newmail-ng.com', 'newtelegraphonline.com', 'news24.com.ng', 'news247.com.ng', 'newsbreaknigeria.com', 'thenews-chronicle.com', 'newsday.com.ng', 'newsdiaryonline.com', 'newsexpressngr.com', 'newsinvestigatorsng.com', 'ngex.com', 'nigeria70.com', 'nigeriadailynews.com', 'nigeriaindependent.com', 'nigeriaintel.com', 'nigeriamasterweb.com', 'nigerianewsday.com', 'nigerianewsupdates.com', 'newsdesk.ng', 'nigeriapolitico.net', 'nigeriapoliticsonline.com', 'nigeriasun.com', 'nigeriatell.com', 'nigeriavillagesquare.com', 'nigeriaworld.com', 'nigeria-news-world.com', 'nigerianbeacon.com', 'nigerianbulletin.com', 'nigeriancurrent.com', 'nigerianeye.com', 'nigerianinquirer.com', 'nigerianmonitor.com', 'newsng.com', 'nigeriannews.com', 'nigeriannewsportal.com', 'nigeriannewsservice.com', 'nigerianorientnews.com', 'nigeriantimes.ng', 'thenigerianvoice.com', 'odili.net', 'ogavendor.com', 'onlinenigeria.com', 'opinionnigeria.com', 'persecondnews.com', 'plentynews.com', 'pointblanknews.com', 'premiumtimesng.com', 'promptnewsonline.com', 'pulse.ng', 'therainbow.com.ng', 'realnewsmagazine.net', 'reporters365.com', 'saharareporters.com', 'scannewsnigeria.com', 'sharpedgenews.com', 'thesummary.com.ng', 'trends.ng', 'turenchi.com', 'lindaikeji.blogspot.com', 'thewillnigeria.com', 'worldstagegroup.com', 'ynaija.com', 'yazonaija.com', 'yohaig.com', 'younewsng.com', 'businesseyengr.com', 'nigeriannewsworld.com', 'tell.ng', 'completesportsnigeria.com', 'dailytrust.com.ng', 'ngrguardiannews.com', 'thenationonlineng.net', 'tribune.com.ng', 'punchng.com', 'sunnewsonline.com', 'thisdaylive.com', 'vanguardngr.com', 'nan.ng', 'akwaibomnewsonline.com', 'sensornewsonline.com.ng', 'gloryfm.com', 'goldenpennewspaper.blogspot.com', 'nigerdeltaheraldonline.com', 'benuenewsonline.com', 'thenewtimespress.com', 'skygatenews.com', 'crossriverwatch.com', 'blanknewsonline.wordpress.com', 'flashpointnews.wordpress.com', 'nigerdeltatimes.com', 'thepointernewsonline.com', 'view.com.ng', 'nigerdeltastandard.com', 'urhobotimes.com', 'urhobotoday.com', 'freshangleng.com', 'wpost.co', 'nationalguidenewsonline.com', 'edoworld.net', 'itvradionigeria.com', 'nigerianobservernews.com', 'theadvocatengr.com', 'theabujainquirer.com', 'theabujatimes.com', 'abujavoice.com', 'africanheraldexpress.com', 'blueprint.ng', 'freshfactsonlinenews.net', 'leadership.ng', 'nationalaccordnewspaper.com', 'newsdayngonline.com', 'peoplesdailyng.com', 'theheartlander.com', 'imostateblog.com', 'imotrumpeta.com', 'nigeriahornnewspapers.com', 'almizan.info', 'desertherald.com', 'radionigeriakaduna.net', 'freedomradionig.com', 'kogireports.com', 'theheraldnews.info', 'ilorin.info', 'kwaranews.com', 'royaltimes.net', 'alaroyeonline.com', 'businessdayonline.com', 'businessworldng.com', 'city1051fm.com', 'dailyindependentnig.com', 'mydailynewswatchng.com', 'dailytimes.com.ng', 'radiolagosekofm.net', 'galaxytvonline.com', 'hallmarknews.com', 'nationaldailyng.com', 'nationalmirroronline.net', 'newsdirectonline.com', 'ntalagoschannel10.net', 'pmnewsnigeria.com', 'rc1023.fm', 'radionigerialagos.com', 'silverbirdtv.com', 'tvcontinental.tv', 'ogtv.com.ng', 'ogunradio.com', 'ondoevents.com', 'ondonews.com', 'osundefender.org', 'newsjournal.com.ng', 'radionigeriaibadan.com', 'nationalnetworkonline.com', 'theneighbourhoodonline.com', 'thenewswriterng.com', 'ph-microscope.com', 'frcnssz.com', 'rstv22.tv', 'thetidenewsonline.com']"
Hungary,"['atv.hu', 'echotv.hu', 'mno.hu', 'inforadio.hu', 'hirado.hu', 'rtl.hu', 'tv2.hu', 'budapestbeacon.com', 'hu.budapestbeacon.com', 'gondola.hu', 'hir24.hu', 'hirstart.hu', 'hirkereso.hu', 'hatc.hu', 'index.hu', 'ma.hu', 'nethirlap.hu', 'origo.hu', 'portfolio.hu', 'stop.hu', '168ora.hu', 'figyelo.hu', 'hetek.hu', 'valasz.hu', 'hvg.hu', 'demokrata.hu', 'magyarnarancs.hu', 'magyarhirlap.hu', 'napi.hu', 'nemzetisport.hu', 'nol.hu', 'nepszava.hu', 'vg.hu', 'havariapress.hu', 'mti.hu', 'petofinepe.hu', 'baranyanet.hu', 'dunantulinaplo.hu', 'pecsinapilap.hu', 'pecsiujsag.hu', 'bmhirlap.hu', 'boon.hu', 'eszak.hu', 'infomiskolc.hu', 'blikk.hu', 'borsonline.hu', 'bbj.hu', 'budapesttimes.hu', 'budapester.hu', 'jfb.hu', 'lepetitjournal.com', 'luno.hu', 'magyartokepiac.hu', 'metropol.hu', 'pesterlloyd.net', 'xindb.com', 'delmagyar.hu', 'dunaujvaros.com', 'duol.hu', 'feol.hu', 'kisalfold.hu', 'naplo.hu', 'haon.hu', 'hevesmegyeihirlap.hu', 'ujneplap.hu', '24ora.hu', 'nograd24.hu', 'somogyihirlap.hu', 'kelet.hu', 'szon.hu', 'tolnainepujsag.hu', 'vaol.hu', 'veol.hu', 'zaol.hu']"
Australia,[]
South Korea,"['english.kbs.co.kr', 'kbs.co.kr', 'knn.co.kr', 'imbc.com', 'rki.kbs.co.kr', 'sbs.co.kr', 'edition.cnn.com', 'news.google.co.kr', 'hankooki.com', 'kr.ibtimes.com', 'newspaper.co.kr', 'southkoreanews.net', 'en.asiatoday.co.kr', 'asiatoday.co.kr', 'cn.asiatoday.co.kr', 'english.chosun.com', 'chosunonline.com', 'chosun.com', 'cnnews.chosun.com', 'english.donga.com', 'donga.com', 'english.hani.co.kr', 'hani.co.kr', 'koreajoongangdaily.joins.com', 'japanese.joins.com', 'joins.com', 'kukinews.com', 'khan.co.kr', 'munhwa.co.kr', 'naeil.com', 'segye.com', 'seoul.co.kr', 'english.yonhapnews.co.kr', 'yonhapnews.co.kr', 'busan.com', 'kookje.co.kr', 'cctimes.kr', 'dynews.co.kr', 'jbnews.com', 'idaegu.com', 'idaegu.co.kr', 'imaeil.com', 'tbc.co.kr', 'yeongnam.co.kr', 'daejonilbo.com', 'joongdoilbo.co.kr', 'kado.net', 'kwnews.co.kr', 'moodeungilbo.co.kr', 'kimpo.com', 'nyjtoday.com', 'kyeongin.com', 'kyeonggi.com', 'joongboo.com', 'kyongbuk.co.kr', 'uljinnews.co.kr', 'ydinews.co.kr', 'idomin.com', 'knnews.co.kr', 'gnnews.co.kr', 'bonghwa.co.kr', 'incheonilbo.com', 'kihoilbo.co.kr', 'kyungdoilbo.com', 'hallailbo.co.kr', 'jejunews.com', 'jejumaeil.net', 'jemin.com', 'domin.co.kr', 'jjan.kr', 'jtv.co.kr', 'nsinews.net', 'mokpotoday.com', 'asiailbo.co.kr', 'daehani.kr', 'fnnews.com', 'focus.co.kr', 'english.hankyung.com', 'hankyung.com', 'biz.heraldcorp.com', 'isplus.joins.com', 'koreaherald.com', 'koreatimes.co.kr', 'mk.co.kr', 'metroseoul.co.kr', 'mt.co.kr', 'nocutnews.co.kr', 'economy.hankooki.com', 'seoulilbo.com', 'isms.kr', 'theseoultimes.com', 'shinailbo.co.kr', 'sports.donga.com', 'sports.chosun.com', 'sports.hankooki.com', 'sportsseoul.com', 'sktimes.co.kr', 'ksilbo.co.kr', 'iusm.co.kr']"
Tonga,"['tonga-broadcasting.com', 'looptonga.com', 'planet-tonga.com', 'taimionline.com', 'matangitonga.to']"
Venezuela,"['globovision.com', 'laradiodelsur.com.ve', 'meridiano.com.ve', 'radiofeyalegrianoticias.net', 'rnv.gob.ve', 'televen.com', 'unionradio.net', 'noticierovenevision.net', 'vtv.gob.ve', 'abrebrecha.com', 'analitica.com', 'aporrea.org', 'canaldenoticia.com', 'confirmado.com.ve', 'dolartoday.com', 'elpitazo.com', 'entodonoticias.com', 'entornointeligente.com', 'elperiodicovenezolano.com', 'news.google.co.ve', 'informe21.com', 'lapatilla.com', 'notiactual.com', 'noticias.com.ve', 'noticias24.com', 'noticiasdevenezuela.org', 'noticiasvenezuela.info', 'noticierodigital.com', 'todayvenezuela.com', 'venezuelanalysis.com', 'dinero.com.ve', 'enpaiszeta.com', '2001.com.ve', 'elmundo.com.ve', 'el-nacional.com', 'eluniversal.com', 'ultimasnoticias.com.ve', 'avn.info.ve', 'wakanoticias.com', 'fmnoticias.com', 'horasero.com.ve', 'diariometropolitano.com.ve', 'nuevaprensa.web.ve', 'noticiadeoriente.com.ve', 'mundo-oriental.com.ve', 'elnorte.com.ve', 'eltiempo.com.ve', 'notisemana.co.ve', 'senderosdeapure.net', 'visionapurena.com', 'elclarin.net.ve', 'elaragueno.com.ve', 'elperiodiquito.com', 'elsiglo.com.ve', 'telearagua.com', 'barinotas.com', 'defrentebarinas.info', 'laprensadebarinas.com.ve', 'diarioelexpreso.com.ve', 'elluchador.info', 'diarioelprogreso.net', 'correodelcaroni.com', 'eldiariodeguayana.com.ve', 'nuevaprensa.com.ve', 'primicia.com.ve', 'diariolacosta.com', 'radiopuertocabello1290am.com.ve', 'acn.com.ve', 'el-carabobeno.com', 'lacalle.com.ve', 'noticias24carabobo.com', 'notitarde.com', 'ciudadcojedes.com.ve', 'laopiniondecojedes.com', 'lasnoticiasdecojedes.com', 'elperiodicodeldelta.com', 'notidiariove.wordpress.com', 'tanetanae.com', 'correiodevenezuela.com', 'correodelorinoco.gob.ve', 'descifrado.com', 'diariovea.web.ve', 'diariodecaracas.com', 'larazon.net', 'voce.com.ve', 'lasverdadesdemiguel.net', 'liderendeportes.com', 'nmidigital.com', 'quintodia.net', 'radiomundial.com.ve', 'talcualdigital.com', 'prensapcv.wordpress.com', 'elfalconiano.net', 'lamanana.com.ve', 'notifalcon.com', 'nuevodia.com.ve', 'cactus24.com.ve', 'lavozdeorituco.blogspot.com', 'noticiascalabozo.com.ve', 'diarioelnacionalista.com.ve', 'eltubazodigital.com', 'diariolaantena.com.ve', 'notipascua.com', 'primeraemision.com', 'ciudadbqto.com', 'el-diariodelara.com.ve', 'elimpulso.com', 'elinformador.com.ve', 'laprensalara.com.ve', 'noticias251.com', 'noticiasbarquisimeto.com', 'promar.tv', 'ultimahoralara.com', 'diarioelcaroreno.com.ve', 'elvigia.net', 'enelvigia.com.ve', 'diariodelosandes.com', 'fronteradigital.com.ve', 'tamtv.com.ve', 'diariolavoz.net', 'diarioavance.com', 'diariolaregion.net', 'elorientaldemonagas.com', 'elperiodicodemonagas.com.ve', 'elsoldeoriente.com.ve', 'laverdaddemonagas.com', 'asiesmargarita.com', 'diariocaribazo.net', 'elsoldemargarita.com.ve', 'lahora.com', 'notiespartano.com', 'reporteinsular.com', 'elregional.net.ve', 'ultimahoradigital.com', 'ciudadportuguesa.com.ve', 'elperiodicodeoccidente.net', 'carupanero.com', 'diarioprovincia.net.ve', '30minutostachira.com', 'el-informe.com', 'lanacionweb.com', 'tachiranews.com', 'trt.com.ve', 'diarioeltiempo.com.ve', 'trujilloenlinea.com.ve', 'laverdaddevargas.com', 'notivargas.com', 'diariopuerto.net', 'noticiasyaracuy.com', 'noticiascol.com', 'elregionaldelzulia.com.ve', 'biendateao.com', 'correodellago.com.ve', 'diariocontraste.com', 'diarioinforme.net', 'diariorepublica.com', 'laverdad.com', 'noticiaaldia.com', 'panorama.com.ve', 'quepasa.com.ve', 'versionfinal.com.ve']"
Fiji,"['fbc.com.fj', 'fijione.tv', 'fiji.gov.fj', 'fijileaks.com', 'fijilive.com', 'fijivillage.com', 'intelligentsiya.blogspot.com', 'islandsbusiness.com', 'republikamagazine.com', 'fijisun.com.fj', 'fijitimes.com', 'nailalakai.fijitimes.com', 'thejetnewspaper.com']"
New Caledonia,"['nouvellecaledonie.la1ere.fr', 'lnc.nc', 'dnc.nc', 'lechienbleu.nc', 'kanaky.org']"
Faeroe Islands,"['kvf.fo', 'local.fo', 'portal.fo', 'sosialurin.fo', 'vikublad.fo', 'nordlysid.fo', 'oyggjatidindi.com', 'vinnuvitan.fo']"
